title,categories/keyword,author_tags,title_tfidf
investigation epigenetic regulatory network associated autism spectrum disorder asd integrated global line methylation gene expression profiling analysesarticleopen access,plo one,article autism blood sampling clinical article controlled study dna methylation regulation epigenetics expressed sequence tag gene expression gene expression profiling gene identification gene insertion genetic association genetic transcription human human cell language disability long interspersed element promoter region quantitative analysis reverse transcription polymerase chain reaction sequence alignment transposon autism cell line gene expression profiling gene regulatory network genetic epigenesis genetics long interspersed repeat metabolism armadillo domain protein armc protein human transcriptome armadillo domain protein autism spectrum disorder cell line dna methylation epigenesis genetic gene expression profiling gene regulatory network human long interspersed nucleotide element transcriptome,[0. 0. 0. ... 0. 0. 0.]
spontaneous controlleddiameter synthesis singlewalled fewwalled carbon nanotubesarticle,chemical physic letter,nanocatalysts nanotube singlewalled carbon nanotube swcn average diameter catalyst coating catalyst density diameter growth double walled carbon nanotube fewwalled carbon nanotube number layer reduction time multiwalled carbon nanotube mwcn,[0. 0. 0. ... 0. 0. 0.]
effect zr addition microstructure tribological property anodization tialv alloyarticle,surface coating technology,anodization tizr alloy wear resistance anodic oxidation energy dispersive spectroscopy microstructure nanotube scanning electron microscopy ternary alloy titanium alloy titanium oxide tribology wear material wear resistance x ray photoelectron spectroscopy yarn zirconium alloy anodizations energy dispersive x ray spectroscopy morphology composition oxide layer tialv alloy tribological property zr addition zr alloy aluminum alloy,[0. 0. 0. ... 0. 0. 0.]
activity profile winning male amateur boxer olympic gamesarticle,journal exercise physiology online,activity profile amateur boxing modified official rule adult analysis variance article boxer boxing human male videorecording,[0. 0. 0. ... 0. 0. 0.]
measurement inelastic protonproton cross section tevarticleopen access,journal high energy physic,forward physic hadronhadron scattering experiment,[0. 0. 0. ... 0. 0. 0.]
photocaged pnipam light tunable thermal responsive polymerarticle,macromolecular chemistry physic,lcst onitrobenzyl pnipam thermallight responsive acrylic monomer amide free radical hydrogen bond irradiation photolysis lcst lower critical solution temperature nisopropylacrylamides pnipam polynisopropyl acrylamide pnipam responsive polymer thermal light uv irradiation free radical polymerization,[0. 0. 0. ... 0. 0. 0.]
recovery room incident first report perioperative anesthetic adverse event thailand paad thai studyarticle,journal medical association thailand,adverse event care unit complication postanesthesia quality recovery room safety cefazolin chlorpheniramine cloxacillin dexamethasone epinephrine methacrylic acid methyl ester midazolam adult aged allergic reaction anaphylaxis anesthesiologist article central nervous system central venous pressure cerebrovascular accident coma convulsion delirium electrocardiogram endobronchial intubation female heart arrest heart muscle ischemia human hypotension lung embolism major clinical study male oxygen desaturation postanesthesia care pulmonary aspiration recovery room skin defect,[0.31612204 0.         0.         ... 0.         0.         0.        ]
adsorptive removal carbamazepine using biosynthesized hematite nanoparticlesarticle,environmental nanotechnology monitoring management,adsorption carbamazepine hematite nanoparticles nanoremediation removal,[0. 0. 0. ... 0. 0. 0.]
seismic capacity masonry infilled rc frame strengthening expanded metal ferrocementarticle,engineering structure,analytical model expanded metal masonry infilled frame seismic capacity strengthening analytical model brick building material concrete building concrete energy dissipation hysteresis masonry material metal reinforced concrete seismology sheet metal stiffness structural frame tungsten brick masonry infilled frame energy dissipation capacity expanded metal masonry infilled frame masonryinfilled rc frame nonlinear structural analysis reinforced concrete frame seismic capacity strengthening metal cement cyclic loading hysteresis masonry metal model validation reinforced concrete seismic response strength structural component,[0. 0. 0. ... 0. 0. 0.]
developing academic cancer immunotherapy asialessons challenge vision thailandarticle,chinese clinical oncology,bevacizumab biological product biosimilar agent generic drug imatinib infliximab rituximab trastuzumab article cancer immunotherapy chimeric antigen receptor tcell immunotherapy early cancer food drug administration human human epidermal growth factor receptor positive breast cancer medical education nonhuman thailand immunology immunotherapy neoplasm procedure human immunotherapy neoplasm thailand,[0. 0. 0. ... 0. 0. 0.]
role competence educator undergraduate dental student discussion paperarticleopen access,european journal dental education,dental educator educator role competence undergraduate dental education curriculum dental education dental student doctor patient relation educational theory health care system human human experiment patient care personnel management professionalism quality control teaching tooth dental education professional competence professional standard standard education dental faculty dental professional competence professional role,[0. 0. 0. ... 0. 0. 0.]
evaporitesbook chapter,encyclopedia earth science series,,[0. 0. 0. ... 0. 0. 0.]
bullying work cognitive appraisal negative act coping wellbeing performancearticleopen access,journal occupational health psychology,bullying cognitive appraisal theory coping article bullying cambodia cognition cognitive appraisal theory controlled study coping behavior correlation coefficient general health questionnaire human major clinical study mental performance multivariate analysis variance outcome assessment personnel management philippine priority journal psychological wellbeing quality control self report sex difference sleep quality sociological theory southeast asia thailand viet nam work capacity work environment workplace adolescent adult aged bullying cluster analysis cognition crosssectional study female industry job performance male middle aged psychology questionnaire young adult adaptation psychological adolescent adult aged asia southeastern bullying cluster analysis cognition crosssectional study female human industry male middle aged survey questionnaire work performance workplace young adult,[0. 0. 0. ... 0. 0. 0.]
pcrreverse dot blot nucleotide signature sequence matk identification mitragyna speciosa narcotic speciesarticleopen access,plant gene,dna barcoding forensics matk mitragyna speciosa narcotic reverse dot blot hybridization rubiaceae,[0. 0. 0. ... 0. 0. 0.]
estimating actual evapotranspiration ndvi using landsat sentinel imageryconference paper,frontier artificial intelligence application,actual evapotranspiration landsat ndvi remote sensing sentinel evapotranspiration image analysis irrigation remote sensing soil conservation soil moisture water conservation water management water supply actual evapotranspiration agricultural water management hydrologic cycle irrigation water requirement landsat landsat normalized difference vegetation index remotesensing satellite image sentinel landsat,[0. 0. 0. ... 0. 0. 0.]
mirroring process school management team cooperation teacher collaborationarticle,leadership policy school,,[0. 0. 0. ... 0. 0. 0.]
measurement b polarization angular parameter b j decay pp collision tev measurement b polarization sirunyan et alarticleopen access,physical review,,[0. 0. 0. ... 0. 0. 0.]
exploring effect authentic leadership academic optimism teacher engagement thailandarticle,international journal educational management,academic optimism asia authentic leadership principal teacher work engagement thailand,[0. 0. 0. ... 0. 0. 0.]
land reform market adjustment rice market growth vietnamarticle,study transition state society,doi moi land reform rice export rice production vietnam,[0. 0. 0. ... 0. 0. 0.]
effect vitamin supplementation muscle strength early postmenopausal woman randomized doubleblind placebocontrolled trialarticle,climacteric,hydroxyvitamin level early postmenopausal woman ergocalciferol muscle crosssectional area muscle mass muscle strength vitamin alanine aminotransferase aspartate aminotransferase creatinine ergocalciferol nitrogen placebo urea hydroxyvitamin ergocalciferol vitamin adult aging aminotransferase blood level article aspartate aminotransferase blood level b scan controlled study cost effectiveness analysis creatinine blood level crosssectional study deterioration double blind procedure drug effect dynamometry female human major clinical study muscle mass muscle strength postmenopause priority journal prospective study randomized controlled trial urea nitrogen blood level vitamin blood level vitamin deficiency vitamin supplementation blood dietary supplement drug effect echography middle aged muscle strength physiology postmenopause sarcopenia vitamin deficiency dietary supplement doubleblind method ergocalciferol female human middle aged muscle strength postmenopause prospective study sarcopenia ultrasonography vitamin vitamin deficiency,[0. 0. 0. ... 0. 0. 0.]
cypd genotype analysis thai population platform comparisonarticle,pharmacogenomics,amplichip cyp test cypd luminex xtag massarray taqman cytochrome p cytochrome p allele article comparative study controlled study cypd gene drug therapy enzyme activity ethnic group gene locus genetic screening genetic variation genotype human major clinical study pharmacogenetic variant population genetics thai people dna sequence epidemiology gene frequency genetic variation genetics health survey procedure standard thailand cytochrome p cypd gene frequency genetic variation genotype human population surveillance sequence analysis dna thailand,[0. 0. 0. ... 0. 0. 0.]
effect transcranial direct current stimulation plus physical therapy gait patient parkinson disease randomized controlled trialarticle,american journal physical medicine rehabilitation,mobility limitation parkinson disease physical therapy transcranial direct current stimulation aged controlled study double blind procedure female human male multimodality cancer therapy neurologic gait disorder parkinson disease pathophysiology physiology physiotherapy randomized controlled trial transcranial direct current stimulation walking speed aged combined modality therapy doubleblind method female gait disorder neurologic human male parkinson disease physical therapy modality transcranial direct current stimulation walking speed,[0. 0. 0. ... 0. 0. 0.]
concomitant psychiatric nonalcoholrelated substance use disorder among hospitalized patient alcoholic liver disease united statesarticleopen access,alcoholism clinical experimental research,alcoholic liver disease mental health substance abuse adjustment disorder adult age alcohol liver disease anxiety disorder article attention deficit disorder caucasian chronic liver disease cohort analysis controlled study delirium depression developmental disorder drug dependence female hospital patient human impulse control disorder major clinical study male mental disease middle aged mood disorder personality disorder posttraumatic stress disorder priority journal race difference schizophrenia sex difference substance abuse suicide tobacco use united state adjustment disorder alcohol liver disease anxiety disorder case control study chronic disease comorbidity depression drug dependence factual database hospitalization liver disease mental disease posttraumatic stress disorder prevalence adjustment disorder anxiety disorder casecontrol study chronic disease comorbidity database factual depressive disorder female hospitalization human liver disease liver disease alcoholic male mental disorder middle aged prevalence stress disorder posttraumatic substancerelated disorder united state,[0. 0. 0. ... 0. 0. 0.]
theoretical investigation thiophenelinked porphyrinperylene photosensitiser bulkheterojunction solar cellsarticleopen access,molecular simulation,perylene photosensitiser porphyrin quantum chemical calculation thiophene charge transfer density functional theory design testability electronic property molecule polycyclic aromatic hydrocarbon porphyrin quantum chemistry solar cell thiophene absorption property bulk heterojunction solar cell electronaccepting perylenes photosensitiser quantum chemical calculation theoretical investigation timedependent dft heterojunctions,[0. 0. 0. ... 0. 0. 0.]
international prostate symptom score ipss thai version misunderstanding modificationarticle,journal medical association thailand,international prostate symptom score ipss misunderstandingmisinterpretation problem thai version aged article education female high school human information processing international prostate symptom score lower urinary tract symptom male outcome assessment primary school questionnaire reliability,[0. 0. 0. ... 0. 0. 0.]
effect religious intervention depressive symptom quality life among indonesian elderly nursing home quasiexperimental studyarticleopen access,clinical intervention aging,geriatric depression indonesia nursing home quality life quranic recital intervention religious leader approach aged article clergy clinical evaluation clinical outcome controlled study coping behavior counseling demography depression assessment female geriatric depression scale human indonesia intervention study late life depression length stay major clinical study male nursing home population group program effectiveness quality life quasi experimental study religion elderly world health organization depression geriatric assessment psychology quality life aged aged clergy depression female geriatric assessment human indonesia male nursing home quality life spirituality world health organization,[0. 0. 0. ... 0. 0. 0.]
management outbreak brucellosis multiple specie ruminant farm malaysiaarticle,pertanika journal tropical agricultural science,brucellosis multiple specie outbreak ruminant farm,[0. 0. 0. ... 0. 0. 0.]
assessing reactogenicity tdap vaccine administered pregnancy antibody bordetella pertussis antigen maternal cord serum thai womenarticle,vaccine,pertussis pregnancy reactogenicity safety thailand vaccine bacterium antibody diphtheria pertussis tetanus vaccine hemagglutinin immunoglobulin g pertactin pertussis toxin tetanus toxoid virus antigen bacterial antigen bacterium antibody diphtheria pertussis tetanus vaccine adult antibody titer article bordetella pertussis child protection chorioamnionitis congenital disorder controlled study cord serum diphtheria disease association disease duration disease severity drug effect drug safety enzyme linked immunosorbent assay female fetus death fever follow gestational age hellp syndrome hospitalization human human experiment immunoglobulin blood level immunoreactivity infant injection site discoloration injection site pain injection site swelling maternal hypertension maternal welfare medical record review obstetric delivery oligohydramnios passive immunization perinatal asphyxia pertussis preeclampsia pregnancy pregnancy diabetes mellitus pregnancy outcome premature labor priority journal pruritus psychosis randomized controlled trial rash tetanus thai people thorax pain umbilical cord blood upper respiratory tract infection urinary tract infection uterus contraction vaccination vertigo vomiting adolescent blood epidemiology fetus blood immunology maternal exposure pertussis pregnancy thailand vaccination vaccine immunogenicity young adult adolescent adult antibody bacterial antigen bacterial bordetella pertussis diphtheriatetanusacellular pertussis vaccine female fetal blood human immunogenicity vaccine maternal exposure pregnancy thailand vaccination whooping cough young adult,[0. 0. 0. ... 0. 0. 0.]
modified robert jones bandage reduce invisible blood loss total knee arthroplasty randomizedcontrolled trialarticle,archive orthopaedic trauma surgery,bandage blood loss dressing knee arthroplasty codeine diclofenac morphine paracetamol parecoxib aged article blood transfusion controlled study device safety ecchymosis female hematocrit hematoma human knee osteoarthritis major clinical study male mobilization operative blood loss postoperative pain postoperative period preoperative period priority journal randomized controlled trial range motion rest therapy effect total knee arthroplasty bandage device hemostatic technique joint characteristic function knee replacement postoperative hemorrhage postoperative pain statistic numerical data treatment outcome arthroplasty replacement knee bandage hemostatic technique human pain postoperative postoperative hemorrhage range motion articular treatment outcome,[0. 0. 0. ... 0. 0. 0.]
feminising workforce ageing east asia potential skilled female labour four advanced economiesarticle,journal population research,asia education female labour force participation labour supply population ageing projection aging economic activity economic condition education female labor participation labor supply prediction skilled labor china far east hong kong japan singapore southeast asia south korea,[0. 0. 0. ... 0. 0. 0.]
complexometric argentometric titration using threadbased analytical devicesarticle,talanta,argentometric titration chloride complexometric titration magnesium mgii microfluidic threadbased analytical device tad analytic equipment chlorine compound chromium compound color colorimetry ethylenediaminetetraacetic acid latex microfluidics polypropylene potassium compound reinforced plastic rubber rubber thread silver halide solution titration analyte concentration analytical approach chloride complexometric titration concentration range eriochrome black polypropylene sheet potential interference magnesium compound,[0. 0. 0. ... 0. 0. 0.]
optimum operating parameter cosorption turbulent fluidized bed regime using potassium carbonate supported gamma alumina solid sorbentarticleopen access,rsc advance,alumina aluminum oxide carbon dioxide fluidized bed potash product design sorbent sorption continuous reactor heat regeneration operating parameter optimum condition potassium dawsonite response parameter sorption temperature superficial gas velocity loading,[0. 0. 0. ... 0. 0. 0.]
application surfactant aqueousbased solution oil phorbol ester extraction jatropha curcas l seedkernel one steparticle,chiang mai journal science,jatropha curcas seed oil extraction phorbol ester surfactant,[0. 0. 0. ... 0. 0. 0.]
shortterm efficacy safety adding ezetimibe current regimen lipidlowering drug human immunodeficiency virusinfected thai patient treated protease inhibitorsarticleopen access,japanese journal infectious disease,dyslipidemia ezetimibe human immunodeficiency virus hiv protease inhibitor statin atazanavir plus ritonavir atorvastatin ezetimibe fenofibrate fenofibric acid plus rosuvastatin gemfibrozil high density lipoprotein cholesterol hydroxymethylglutaryl coenzyme reductase inhibitor lopinavir plus ritonavir low density lipoprotein cholesterol nonnucleoside reverse transcriptase inhibitor proteinase inhibitor rna directed dna polymerase inhibitor triacylglycerol antilipemic agent cholesterol ezetimibe human immunodeficiency virus proteinase inhibitor adult article cholesterol blood level clinical article clinical outcome drug efficacy drug safety dyslipidemia female follow highly active antiretroviral therapy human human immunodeficiency virus infection male open study prospective study blood human immunodeficiency virus infection middle aged thailand adult antiretroviral therapy highly active cholesterol ezetimibe female hiv infection hiv protease inhibitor human hypolipidemic agent male middle aged prospective study thailand,[0. 0. 0. ... 0. 0. 0.]
tsunami evacuation experiment using mobile application design science approacharticle,international journal disaster risk reduction,disaster education evacuation drill ict disaster risk reduction mobile application,[0. 0. 0. ... 0. 0. 0.]
remarkable new genus braconini hymenoptera braconidae braconinae papua new guinea reared fallen fruitarticle,journal asiapacific entomology,australasia fruit new genus parasitoid wasp rubiaceae,[0. 0. 0. ... 0. 0. 0.]
semirigid composite foam calcium sodium aluminosilicate eggshell embedded polyurethanearticle,international polymer processing,aluminosilicates aluminum compound calcium calcium compound ceramic material decomposition foam particle size particle size analysis polyurethane pore size powder silicon compound sodium solgel process specific surface area thermal conductivity adsorbent material average particle size candidate material decomposition temperature high specific surface area insulation material polyurethane foam sodium aluminosilicate sodium compound,[0. 0. 0. ... 0. 0. 0.]
serum mira mir potential biomarkers nonalcoholic fatty liver disease nafldarticle,microrna shariqah united arab emirate,biomarkers microrna mir mira nonalcoholic fatty liver disease nafld nucleus biological marker microrna mirn microrna human mirn microrna human adolescent adult aged blood case control study female gene expression regulation genetics human inflammation male middle aged nonalcoholic fatty liver prognosis young adult adolescent adult aged biomarkers casecontrol study female gene expression regulation human inflammation male micrornas middle aged nonalcoholic fatty liver disease prognosis young adult,[0. 0. 0. ... 0. 0. 0.]
bioactivity solgelderived hydroxyapatite coating titanium implant vitro vivoarticle,asian biomedicine,bone remodeling boneimplant interface hydroxyapatites osseointegration solgel process alizarin eosin hematoxylin hydroxyapatite titanium animal cell animal experiment article bone bone remodeling cell proliferation comparative study controlled study energy dispersive x ray spectroscopy gel histology vitro study vivo study male material coating mineralization nonhuman osseointegration osteoblast scanning electron microscopy surface property trabecular bone,[0. 0. 0. ... 0. 0. 0.]
randomized multicenter trial comparing lowdose prednisolone versus observation prevention recurrence adult immune thrombocytopeniaarticleopen access,clinical applied thrombosishemostasis,immune thrombocytopenia prednisolone randomized trial recurrence aminotransferase dexamethasone prednisolone prednisolone acute kidney failure adult article avascular necrosis blastocystosis body weight gain chronic kidney failure constipation controlled study dizziness drug megadose drug withdrawal dyspepsia fatigue female human hypercholesterolemia hyperglycemia idiopathic thrombocytopenic purpura knee pain low drug dose major clinical study male multicenter study peptic ulcer platelet count postherpetic neuralgia priority journal randomized controlled trial rash recurrence free survival recurrent disease tuberculous spondylitis upper respiratory tract infection vertigo adolescent blood clinical trial comparative study disease free survival follow idiopathic thrombocytopenic purpura middle aged mortality recurrent disease survival rate adolescent adult diseasefree survival female followup study human male middle aged platelet count prednisolone purpura thrombocytopenic idiopathic recurrence survival rate,[0. 0. 0. ... 0. 0. 0.]
diffuse endobronchial metastasis sigmoid carcinoma presenting wheezing respiratory failurearticleopen access,respirology case report,endobronchial metastasis respiratory failure sigmoid carcinoma wheezing,[0. 0. 0. ... 0. 0. 0.]
salicylicylphenylacetylene fluorophore mixed graphene oxide selective lysozyme detectionarticle,journal luminescence,enzyme fluorescence fluorophores hydrophobicity concentration range fluorescence intensity fluorescent emission hydrophobic interaction labelfree technique limit detection quantitative determination strong interaction graphene,[0. 0. 0. ... 0. 0. 0.]
update noticelearn erratum linking scopus,pace pacing clinical electrophysiology,apixaban atrial fibrillation bleeding complication metaanalysis thromboembolic event vitamin k antagonist warfarin antivitamin k apixaban warfarin anticoagulant agent apixaban pyrazole derivative pyridone derivative warfarin article atrial fibrillation bleeding cerebrovascular accident chronic kidney failure drug efficacy drug safety end stage renal disease hemodialysis human meta analysis systematic review thromboembolism venous thromboembolism complication thromboembolism thrombosis anticoagulant human kidney failure chronic pyrazoles pyridones thromboembolism thrombosis warfarin,[0. 0. 0. ... 0. 0. 0.]
factor contributing managerial competence firstline nurse manager systematic reviewreview,international journal nursing practice,competence nurse manager systematic review cinahl content analysis data extraction embase human medline nurse manager personality qualitative research quality control sciencedirect systematic review nurse administrator professional competence human nurse administrator professional competence qualitative research,[0. 0. 0. ... 0. 0. 0.]
temporal spatial distribution precursory seismicity rate change thailandlaosmyanmar border region implication upcoming hazardous earthquakesarticle,journal seismology,earthquake catalog precursor seismic quiescence seismicity rate change thailandlaosmyanmar border z value border region earthquake catalogue earthquake event earthquake precursor geostatistics hazard assessment seismicity spatiotemporal analysis stochasticity strong motion lao myanmar thailand,[0. 0. 0. ... 0. 0. 0.]
use copper intrauterine device associated higher bacterial vaginosis prevalence thai hivpositive womenarticle,aid care psychological sociomedical aspect aidshiv,bacterial vaginosis contraception copper intrauterine device hiv adult amsel criterion article body mass comparative study contraceptive behavior controlled study crosssectional study female human human immunodeficiency virus infected patient human immunodeficiency virus infection major clinical study nonhuman nugent score prevalence priority journal scoring system thai people vagina flora vaginitis adverse device effect complication copper intrauterine device thailand vaginitis adult crosssectional study female hiv infection human intrauterine device copper prevalence thailand vaginosis bacterial,[0. 0. 0. ... 0. 0. 0.]
periodicreview policy echelon inventory problem seasonal demandarticleopen access,engineering journal,inventory system mixedinteger programming multiechelon system seasonal demand,[0. 0. 0. ... 0. 0. 0.]
trh sitespecific methylation oral oropharyngeal squamous cell carcinomaarticleopen access,bmc cancer,bioinformatics dna methylation oral cancer pyrosequencing dna protirelin protirelin tumor marker article bioinformatics bisulfite conversion cancer cell clinical article cohort analysis controlled study cpg island dna extraction dna methylation female genetic parameter human human cell human tissue male medical procedure microdissection mouth mucosa mouth squamous cell carcinoma oral biopsy oral rinse oropharynx squamous cell carcinoma purification pyrosequencing real time polymerase chain reaction reference value sensitivity specificity validation process case control study early cancer diagnosis genetic database genetic epigenesis genetic predisposition genetics mouth tumor oropharynx tumor pathology predictive value procedure reproducibility validation study biomarkers tumor casecontrol study cpg island database genetic dna methylation early detection cancer epigenesis genetic female genetic predisposition disease human male mouth neoplasm oropharyngeal neoplasm predictive value test realtime polymerase chain reaction reproducibility result squamous cell carcinoma head neck thyrotropinreleasing hormone,[0. 0. 0. ... 0. 0. 0.]
clinical feature treatment outcome among child stevensjohnson syndrome toxic epidermal necrolysis year study tertiary referral hospitalarticleopen access,dermatology research practice,antibiotic agent anticonvulsive agent antivirus agent creatinine immunoglobulin nonsteroid antiinflammatory agent penicillamine prednisolone adrenal insufficiency article blister child clinical article clinical feature controlled study corticosteroid therapy dry eye eye disease female fever fibrosis gastrointestinal symptom hematuria human hyperbilirubinemia hypertransaminasemia hypocalcemia hypokalemia hyponatremia hypophosphatemia keratopathy maculopapular rash male measles like rash pancreatitis pneumonia purpura retrospective study scar school child skin defect sore throat stevens johnson syndrome superinfection systemic therapy tertiary care center toxic epidermal necrolysis treatment outcome xerosis,[0. 0. 0. ... 0. 0. 0.]
update noticelearn erratum linking scopus,resource geology,geochemistry granitoid loei fold belt thailand allanite base metal biotite chondrite concentration composition crystallization feldspar fold belt gold granitoid hornblende ore deposit petrochemistry plagioclase quartz rare earth element central region thailand loei nakhon sawan northeastern region northern region thailand phetchabun rayong thailand,[0. 0. 0. ... 0. 0. 0.]
topical drug delivery posterior segment eye effect benzalkonium chloride topical dexamethasone penetration eye vivoarticle,journal drug delivery science technology,benzalkonium chloride dexamethasone eye drop penetration enhancer benzalkonium chloride cyclodextrin dexamethasone animal experiment animal tissue aqueous humor article controlled study cornea epithelium cornea tissue drug blood level drug delivery system drug penetration drug tissue level eye tissue vitro study vivo study nonhuman pigmented rabbit posterior eye segment retina tissue sclera topical treatment vitreous body,[0. 0. 0. ... 0. 0. 0.]
fabrication absgraphene oxide composite filament fused filament fabrication fff printingarticleopen access,advance material science engineering,deposition elastic modulus fabrication graphene mixing polymer tensile strength emerging technology layer layer optimum property oxide composite printing process solvent mixing threedimensional printing welldispersed printer,[0. 0. 0. ... 0. 0. 0.]
low cost easy rice husk modification efficiently enhance ammonium nitrate adsorptionarticleopen access,international journal recycling organic waste agriculture,ammonium nitrate pyrolysis rice husk surfactant adsorption ammonium biochar fertilizer application nitrate plant residue pyrolysis research work rice surfactant,[0. 0. 0. ... 0. 0. 0.]
couple histamine blue fluorescence chemosensor surface charge selector fcmodified silica nanoporous highly specific histamine detection via fretprocessarticle,sensor actuator b chemical,fluorescein fluorescence resonance energy transfer histamine blue histamine detection nanoporous silica amine amino acid catalysis dye energy transfer fish fluorine compound silica surface treatment fluorescein fluorescence resonance energy transfer fluorescence sensor histamine blue histamine poisoning linear response range nanoporous silica naturally occurring fluorescence,[0. 0. 0. ... 0. 0. 0.]
dystroglycan new candidate gene patellar luxation chihuahua dogsarticleopen access,veterinary world,dna marker dystroglycan gene inter simple sequence repeat patellar luxation singlenucleotide polymorphism dna fragment dystroglycan dystroglycan genomic dna unclassified drug allele article blood sampling chihuahua dog cloning controlled study dna extraction dna polymorphism dystroglycan gene female gene gene frequency gene sequence genetic association genotype inter simple sequence repeat male nonhuman patella dislocation phenotype polymerase chain reaction sequence alignment single nucleotide polymorphism stifle,[0. 0. 0. ... 0. 0. 0.]
feasibility study using basalt fiber reinforcement phase fibercement productsconference paper,key engineering material,alkaline resistant basalt fibercement composite hatschek process astm standard basalt cement manufacture cement ceramic material fiber reinforced material hydrated lime planning reinforced plastic reinforcement roof scanning electron microscopy alkaline resistant feasibility study fiber cement board fiber cement hatschek process mechanical requirement reinforcement phase x ray diffractometers fiber,[0. 0. 0. ... 0. 0. 0.]
search gaugemediated supersymmetry event least one photon missing transverse momentum pp collision stevarticleopen access,physic letter section b nuclear elementary particle highenergy physic,cm computing physic software,[0. 0. 0. ... 0. 0. 0.]
skin barrier function atopic dermatitisreview,current dermatology report,atopic dermatitis barrier filaggrin lipid tight junction treatment filaggrin kallikrein lipid atopic dermatitis disease course epidermis human immunoreactivity keratinocyte pathogenesis priority journal pruritus review skin surface stratum corneum tight junction,[0. 0. 0. ... 0. 0. 0.]
synchroperspectivebased highfrequency voltage injection method positionsensorless vector control doubly fed induction machinesconference paper,ieee transaction industry application,doubly fed induction machine dfim global stability estimator highfrequency hf signal injection rotorposition estimation salient autonomous sensorless control asynchronous machinery electric winding estimation frequency estimation lock fastener machine winding mathematical model phase locked loop robust control rotor rotor winding sensorless control stator synchro winding doubly fed induction machine global stability highfrequency signal injection rotor position estimation salient autonomous stator winding vector control electric machinery,[0. 0. 0. ... 0. 0. 0.]
cyclodextrin solubilization celecoxib solid solution state characterizationarticle,journal inclusion phenomenon macrocyclic chemistry,aggregate celecoxib complexation cyclodextrins solubility,[0. 0. 0. ... 0. 0. 0.]
effect tryptophan catabolites negative symptom deficit schizophrenia partly mediated executive impairment result partial least square path modelingarticle,cns neurological disorder drug target,cognition deficit schizophrenia inflammation negative symptom neuroimmune oxidative stress antidepressant agent anxiolytic agent biological marker chlorpromazine clozapine fluphenazine haloperidol immunoglobulin immunoglobulin mood stabilizer olanzapine perphenazine quetiapine risperidone trihexyphenidyl tryptophan immunoglobulin immunoglobulin kynurenic acid kynurenine kynurenine monooxygenase picolinic acid picolinic acid derivative quinolinic acid tryptophan xanthurenic acid adult aged article calgary depression scale cambridge neuropsychological test automated battery case control study cognitive defect controlled study emotional recognition test executive function fagerstrom test nicotine dependence female human major clinical study male mental disease mini international neuropsychiatric interview negative syndrome nerve cell network neuropsychological test outcome variable oxidative stress phenotype positive negative syndrome scale predictive value scale assessment negative symptom schizophrenia scoring system semantic memory sensitivity specificity visual information working memory adolescent analysis variance cognitive defect complication immunology metabolism middle aged physiology psychological rating scale psychology schizophrenia young adult adolescent adult aged analysis variance cognition disorder executive function female human immunoglobulin immunoglobulin kynurenic acid kynurenine kynurenine monooxygenase male middle aged neuropsychological test picolinic acid psychiatric status rating scale quinolinic acid schizophrenia schizophrenic psychology tryptophan xanthurenates young adult,[0. 0. 0. ... 0. 0. 0.]
chemical constituent stem spatholobus parviflorus cholinesterase inhibitory activityarticle,chemistry natural compound,,[0. 0. 0. ... 0. 0. 0.]
change tryptophan catabolite trycat pathway patterning associated mild impairment declarative memory schizophrenia deficit semantic episodic memory coupled increased falsememory creation deficit schizophreniaarticle,molecular neurobiology,compensatory antiinflammatory reflex system cytokine immune activation inflammation schizophrenia tryptophan anthranilic acid immunoglobulin immunoglobulin kynurenic acid kynurenine picolinic acid quinolinic acid xanthurenic acid tryptophan adult aged amnesia article boston naming test clinical article cognitive function test constructional praxis controlled study crosssectional study declarative memory episodic memory false memory female human male memory assessment memory disorder mini mental state examination negative syndrome outcome assessment positive syndrome recall recognition schizophrenia scoring system semantic memory signal transduction tryptophan catabolite pathway verbal fluency test word list recall word list recognition working memory case control study episodic memory memory disorder metabolism multivariate analysis neuropsychological test schizophrenia semantics statistical model adult casecontrol study female human linear model male memory disorder memory episodic multivariate analysis neuropsychological test schizophrenia semantics tryptophan,[0. 0. 0. ... 0. 0. 0.]
thermal behaviour calcitestructure carbonate powder xray diffraction study karticle,european journal mineralogy,calcitestructure carbonate crystal structure lowand hightemperature xray diffraction thermal expansion buoyancy cadmium compound calcite calcium carbonate expansion magnesite manganese compound negative thermal expansion positive ion thermal expansion x ray diffraction zinc compound anisotropic thermal expansion high temperature xray diffraction increasing temperature inverse correlation powder x ray diffraction structural mechanism structure parameter thermal expansion coefficient crystal structure calcite carbonate crystal structure experimental mineralogy high temperature low temperature magnesite thermal expansion xray diffraction,[0. 0. 0. ... 0. 0. 0.]
controllable nanoporous fibrillike morphology layerby layer selfassembled film bioelectronics polypyrrolecoformyl pyrrolepolystyrene sulfonate biocompatible electrodearticle,material research bulletin,biocompatible electrode noncytotoxicity ppycofpy protein adsorption selfassembly layer layer aromatic compound atomic force microscopy biocompatibility biological material body fluid cell culture cytotoxicity electrode mammal morphology self assembly bovine serum albumin controllable morphology layer layer layer layer self assembly layerbylayer selfassembled film mouse embryonic fibroblast polystyrene sulfonate protein adsorption deposition,[0. 0. 0. ... 0. 0. 0.]
