title,categories/keyword,author_tags
"forecasting economic, social and environmental growth in the sanitary and service sector based on thailand's sustainable development policy(article)(open access)",journal of ecological engineering,"['gdp growth', 'greenhouse gas', 'income per capita', 'population growth', 'sustainable development']"
reducing misclassification of true defects in defect classification of electronic board(conference paper),studies in computational intelligence,"['defect candidate region', 'defect classification', 'multiple classes', 'svm', 'artificial intelligence', 'computational methods', 'automatic classification', 'classification accuracy', 'defect classification', 'electronic boards', 'misclassifications', 'multiple class', 'multiple classifiers', 'voting process', 'defects']"
quality control process improvement of flexible printed circuit board by fmea(conference paper)(open access),iop conference series: materials science and engineering,"['costs', 'defects', 'flexible electronics', 'inspection', 'printed circuit boards', 'process engineering', 'quality assurance', 'sales', 'timing circuits', 'control process', 'defective products', 'failure mode and effect analysis', 'flexible printed circuit boards', 'inspection process', 'production line', 'proportion of defective', 'work in process', 'process control']"
roles of membrane and organic fouling layers on the removal of endocrine disrupting chemicals in microfiltration(article),journal of environmental sciences (china),"['dynamic adsorption', 'endocrine disrupting chemicals', 'microfiltration membrane', 'organic membrane fouling', 'thomas’ model', 'adsorption', 'calcium', 'equilibrium constants', 'membrane fouling', 'membranes', 'microfiltration', 'organic chemicals', 'water pollution', 'dynamic adsorption', 'dynamic adsorption behaviors', 'endocrine disrupting chemicals', 'micro-filtration membranes', 'microfiltration systems', 'octanol-water partition coefficient', 'organic membranes', 'treatment performance', 'endocrine disrupters', 'adsorption', 'alginate', 'endocrine disruptor', 'filtration', 'fouling', 'hydrophobicity', 'membrane', 'partition coefficient', '4-nonylphenol', 'endocrine disruptor', 'estradiol', 'estriol', 'ethinylestradiol', 'phenol derivative', 'adsorption', 'artificial membrane', 'chemical model', 'chemistry', 'filtration', 'procedures', 'water pollutant', 'adsorption', 'endocrine disruptors', 'estradiol', 'estriol', 'ethinyl estradiol', 'filtration', 'membranes, artificial', 'models, chemical', 'phenols', 'water pollutants, chemical']"
human papillomavirus-related multiphenotypic sinonasal carcinoma: first case report associated with an intermediate-risk hpv type and literatures review(article)(open access),human pathology: case reports,"['hpv', 'multiphenotypic', 'sinonasal carcinoma', 'type 26', 'protein p63', 'protein s 100', 'smooth muscle actin', 'stem cell factor receptor', 'adenoid cystic carcinoma', 'article', 'carcinoma', 'case report', 'clinical article', 'computer assisted tomography', 'endoscopic sinus surgery', 'epistaxis', 'female', 'human', 'human cell', 'human tissue', 'multiphenotypic sinonasal carcinoma', 'nose obstruction', 'polymerase chain reaction', 'wart virus']"
measurement of charged particle spectra in minimum-bias events from proton–proton collisions at √s=13tev(article)(open access),european physical journal c,"['cosmic rays', 'cosmology', 'a-center', 'center-of-mass energies', 'measurements of', 'minimum-bias events', 'momentum distributions', 'multiplicity distributions', 'particle spectrum', 'proton proton collisions', 'pseudorapidities', 'transverse momenta', 'charged particles']"
highly sensitive detection of salmonella typhimurium using a colorimetric paper-based analytical device coupled with immunomagnetic separation(article),analytical chemistry,"['analytic equipment', 'antibodies', 'bacteria', 'birds', 'color', 'colorimetry', 'escherichia coli', 'paper', 'bacterial pathogens', 'colorimetric assays', 'highly sensitive detections', 'immunomagnetic separation', 'paper-based analytical devices', 'pathogenic bacterium', 'salmonella typhimurium', 'sandwich immunoassay', 'salmonella', 'antibody', 'chlorophenol', 'chlorophenol red galactopyranoside', 'galactoside', 'animal', 'chemistry', 'colorimetry', 'escherichia coli', 'feces', 'immunoassay', 'immunology', 'immunomagnetic separation', 'isolation and purification', 'limit of detection', 'microbiology', 'milk', 'procedures', 'salmonella enterica serovar typhimurium', 'starling', 'animals', 'antibodies', 'chlorophenols', 'colorimetry', 'escherichia coli', 'feces', 'galactosides', 'immunoassay', 'immunomagnetic separation', 'limit of detection', 'milk', 'salmonella typhimurium', 'starlings']"
"long-term clinical and histological evaluation of poreskin: a human acellular dermal matrix in burn scars, a descriptive clinical study(article)",journal of the medical association of thailand,"['acellular dermal matrix', 'acellular dermal regeneration template', 'burns', 'dermal substitute', 'wound healing', 'adult', 'article', 'assessment of humans', 'burn scar', 'clinical article', 'clinical study', 'electron microscopy', 'female', 'histology', 'human', 'human tissue', 'male', 'middle aged', 'poreskin', 'skin', 'skin biopsy', 'skin transplantation', 'vancouver scar scale', 'wound healing', 'young adult']"
update noticelearn more about errata linking in scopus,scientific reports,"['antioxidant', 'hypocholesterolemic agent', 'sericin', 'triacylglycerol', 'animal', 'apoptosis', 'autophagy', 'bombyx', 'chemistry', 'drug effect', 'energy metabolism', 'fatty liver', 'female', 'liver mitochondrion', 'metabolism', 'pathology', 'proteomics', 'rat', 'wistar rat', 'animals', 'anticholesteremic agents', 'antioxidants', 'apoptosis', 'autophagy', 'bombyx', 'energy metabolism', 'fatty liver', 'female', 'mitochondria, liver', 'proteomics', 'rats', 'rats, wistar', 'sericins', 'triglycerides']"
liver transplantation and atrial fibrillation: a meta-analysis(article)(open access),world journal of hepatology,"['atrial fibrillation', 'hepatic', 'liver', 'meta-analysis', 'systematic reviews', 'transplant', 'transplantation']"
anticancer activity of arborinine from glycosmis parva leaf extract in human cervical cancer cells(article),biochemical and biophysical research communications,"['arborinine', 'cervical cancer', 'epithelial-mesenchymal transition', 'glycosmis parva', 'acetic acid ethyl ester', 'arborinine', 'bleomycin', 'caspase 3', 'caspase 7', 'cisplatin', 'gemcitabine', 'histone h2ax', 'lipocortin 5', 'plant extract', 'unclassified drug', 'acridine derivative', 'antineoplastic agent', 'arborinine', 'bax protein, human', 'bcl2 protein, human', 'bcl2l1 protein, human', 'bleomycin', 'casp3 protein, human', 'casp7 protein, human', 'caspase 3', 'caspase 7', 'cisplatin', 'deoxycytidine', 'gemcitabine', 'plant extract', 'protein bax', 'protein bcl 2', 'protein bcl x', 'antineoplastic activity', 'apoptosis', 'article', 'cancer inhibition', 'cell culture', 'cell migration', 'cell proliferation', 'cell viability', 'cervical cancer cell line', 'controlled study', 'cytotoxicity', 'dna damage response', 'enzyme activity', 'enzyme analysis', 'enzyme isolation', 'epithelial mesenchymal transition', 'female', 'fractionation', 'glycosmis parva', 'hela cell line', 'human', 'human cell', 'plant leaf', 'priority journal', 'pyroptosis', 'receptor down regulation', 'reverse transcription polymerase chain reaction', 'shrub', 'suppressor cell', 'thailand', 'tumor spheroid', 'analogs and derivatives', 'chemistry', 'cytology', 'dermis', 'drug effect', 'fibroblast', 'gene expression regulation', 'genetics', 'isolation and purification', 'metabolism', 'multicellular spheroid', 'pathology', 'plant leaf', 'rutaceae', 'transformed cell line', 'acridines', 'antineoplastic agents, phytogenic', 'apoptosis', 'bcl-2-associated x protein', 'bcl-x protein', 'bleomycin', 'caspase 3', 'caspase 7', 'cell line, transformed', 'cell proliferation', 'cisplatin', 'deoxycytidine', 'dermis', 'epithelial-mesenchymal transition', 'female', 'fibroblasts', 'gene expression regulation, neoplastic', 'hela cells', 'humans', 'plant extracts', 'plant leaves', 'proto-oncogene proteins c-bcl-2', 'rutaceae', 'spheroids, cellular']"
laparoscopic-assisted techniques in overcoming bulky sigmoid colon cancer – a video vignette(letter),colorectal disease,"['aged', 'cancer size', 'case report', 'clinical article', 'feasibility study', 'human', 'laparoscopic surgery', 'laparoscopy', 'letter', 'minimally invasive surgery', 'peritoneum', 'priority journal', 'risk factor', 'sigmoid cancer', 'surgical approach', 'videorecording', 'artificial pneumoperitoneum', 'cancer staging', 'colon tumor', 'immunohistochemistry', 'male', 'needle biopsy', 'pathology', 'procedures', 'sigmoidoscopy', 'treatment outcome', 'tumor invasion', 'tumor volume', 'videorecording', 'aged', 'biopsy, needle', 'humans', 'immunohistochemistry', 'laparoscopy', 'male', 'neoplasm invasiveness', 'neoplasm staging', 'pneumoperitoneum, artificial', 'sigmoid neoplasms', 'sigmoidoscopy', 'treatment outcome', 'tumor burden', 'video recording']"
qcm-based rapid detection of pcr amplification products of ehrlichia canis(article),analytica chimica acta,"['dna biosensor', 'dna-dna hybridization', 'ehrlichia canis', 'quartz crystal microbalance (qcm)', 'bacteria', 'dna', 'dna sequences', 'quartz', 'quartz crystal microbalances', 'cross hybridization', 'dna amplification', 'dna biosensors', 'dna-dna hybridization', 'ehrlichia canis', 'limit of detection', 'nucleotide sequences', 'pcr amplification', 'polymerase chain reaction', 'article', 'bacterium detection', 'blood sampling', 'controlled study', 'copy number variation', 'cross hybridization', 'dna hybridization', 'ehrlichia canis', 'gene amplification', 'immobilization', 'limit of detection', 'molecular probe', 'nonhuman', 'nucleotide sequence', 'polymerase chain reaction', 'priority journal', 'process optimization', 'quartz crystal microbalance', 'screening test', 'animal', 'devices', 'dog', 'dog disease', 'ehrlichia canis', 'ehrlichiosis', 'equipment design', 'genetics', 'isolation and purification', 'microbiology', 'polymerase chain reaction', 'procedures', 'quartz crystal microbalance', 'veterinary', 'bacterial dna', 'animals', 'dna, bacterial', 'dog diseases', 'dogs', 'ehrlichia canis', 'ehrlichiosis', 'equipment design', 'limit of detection', 'polymerase chain reaction', 'quartz crystal microbalance techniques']"
synergistic effect of oxygen vacancies and highly dispersed pd nanoparticles over pd-loaded tio2prepared by a single-step sol–gel process for deoxygenation of triglycerides(article),applied catalysis a: general,"['deoxygenation', 'oxygen vacancies', 'pd/tio2', 'renewable diesel', 'smsi', 'activated carbon', 'biodiesel', 'carboxylation', 'catalyst activity', 'crystal structure', 'defects', 'diesel fuels', 'electrolytic reduction', 'hydrocarbons', 'nanoparticles', 'palladium', 'sols', 'temperature programmed desorption', 'titanium dioxide', 'vegetable oils', 'x ray photoelectron spectroscopy', 'catalytic performance', 'deoxygenations', 'h2 temperature-programmed reduction', 'incipientwetness impregnation', 'pd/tio2', 'photochemical deposition', 'renewable diesels', 'smsi', 'oxygen vacancies']"
basic fibroblast growth factor regulates phosphate/pyrophosphate regulatory genes in stem cells isolated from human exfoliated deciduous teeth(article)(open access),stem cell research and therapy,"['basic fibroblast growth factor', 'phosphate', 'pyrophosphate', 'stem cells isolated from human exfoliated deciduous teeth', '3 [4 methyl 2 (2 oxo 3 indolinylmethylidenyl) 3 pyrrolyl]propionic acid', 'alkaline phosphatase', 'collagen type 1', 'collagen type 1a1', 'cyclohexamide', 'dentin matrix protein 1', 'endoglin', 'fibroblast growth factor 2', 'hermes antigen', 'messenger rna', 'osteopontin', 'phosphate', 'protein synthesis inhibitor', 'pyrophosphate', 'thy 1 membrane glycoprotein', 'transcription factor osterix', 'unclassified drug', 'alkaline phosphatase', 'ankh protein, human', 'diphosphoric acid', 'fibroblast growth factor 2', 'phosphate', 'phosphate transporter', 'pyrophosphoric acid derivative', 'adipogenesis', 'alpl gene', 'ankh gene', 'article', 'bone mineralization', 'cell differentiation', 'cell isolation', 'controlled study', 'deciduous tooth', 'enzyme activity', 'gene', 'gene expression regulation', 'genetic association', 'human', 'human cell', 'human tissue', 'in vitro study', 'mesenchymal stem cell', 'osteoblast', 'priority journal', 'protein function', 'protein synthesis', 'real time polymerase chain reaction', 'regulator gene', 'spp1 gene', 'staining', 'tooth development', 'treatment duration', 'bone development', 'cell separation', 'cytology', 'deciduous tooth', 'drug effect', 'gene expression regulation', 'genetics', 'gingiva disease', 'metabolism', 'pathology', 'procedures', 'stem cell', 'alkaline phosphatase', 'calcification, physiologic', 'cell separation', 'diphosphates', 'fibroblast growth factor 2', 'gene expression regulation', 'humans', 'odontogenesis', 'osteogenesis', 'phosphate transport proteins', 'phosphates', 'stem cells', 'tooth exfoliation', 'tooth, deciduous']"
multiple sections per slide for immunohistochemistry: a cost-effective alternative in resource-limited settings(letter),analytical and quantitative cytopathology and histopathology,"['automated immunostaining', 'automation', 'clinical laboratory techniques', 'histological labeling', 'immunohistochemistry', 'laboratory', 'staining', 'staining and labeling', 'antibody', 'reagent', 'biopsy', 'cell heterogeneity', 'cost effectiveness analysis', 'fluorescence in situ hybridization', 'health care cost', 'human', 'immunohistochemistry', 'letter', 'priority journal', 'tissue microarray']"
"differences in optic nerve head, retinal nerve fiber layer, and ganglion cell complex parameters between caucasian and chinese subjects(conference paper)(open access)",journal of glaucoma,"['ganglion cell complex', 'optic nerve head', 'optical coherence tomography', 'racial differences', 'retinal nerve fiber layer thickness', 'adult', 'aged', 'anatomy and histology', 'asian continental ancestry group', 'caucasian', 'cell count', 'comparative study', 'cytology', 'diagnostic imaging', 'female', 'gonioscopy', 'human', 'male', 'middle aged', 'nerve fiber', 'normal human', 'optic disk', 'optical coherence tomography', 'pathology', 'physiology', 'procedures', 'retina', 'retina ganglion cell', 'retina nerve cell', 'adult', 'aged', 'asian continental ancestry group', 'cell count', 'european continental ancestry group', 'female', 'gonioscopy', 'healthy volunteers', 'humans', 'male', 'middle aged', 'nerve fibers', 'optic disk', 'retina', 'retinal ganglion cells', 'retinal neurons', 'tomography, optical coherence']"
unraveling haplotype diversity of the apical membrane antigen-1 gene in plasmodium falciparum populations in thailand(article)(open access),korean journal of parasitology,"['antigen', 'genetic polymorphism', 'human malaria', 'plasmodium falciparum', 'vaccine', 'apical membrane antigen 1', 'genomic dna', 'apical membrane antigen i, plasmodium', 'malaria vaccine', 'membrane protein', 'parasite antigen', 'protozoal dna', 'protozoal protein', 'ama 1 gene', 'amino acid sequence', 'article', 'controlled study', 'gene flow', 'gene locus', 'gene sequence', 'genetic analysis', 'genetic variability', 'geographic distribution', 'haplotype', 'nonhuman', 'nucleotide sequence', 'parasite isolation', 'plasmodium falciparum', 'polymerase chain reaction', 'population structure', 'single nucleotide polymorphism', 'thailand', 'animal', 'genetic variation', 'genetics', 'haplotype', 'human', 'malaria', 'plasmodium falciparum', 'animals', 'antigens, protozoan', 'dna, protozoan', 'genetic variation', 'haplotypes', 'humans', 'malaria', 'malaria vaccines', 'membrane proteins', 'plasmodium falciparum', 'polymerase chain reaction', 'protozoan proteins', 'thailand']"
ticagrelor induces paraoxonase-1 (pon1) and better protects hypercholesterolemic mice against atherosclerosis compared to clopidogrel(article)(open access),plos one,"['aryldialkylphosphatase 1', 'clopidogrel', 'gamma interferon inducible protein 10', 'macrophage inflammatory protein 1beta', 'ticagrelor', 'tumor necrosis factor', 'antithrombocytic agent', 'aryldialkylphosphatase', 'clopidogrel', 'low density lipoprotein receptor', 'pon1 protein, mouse', 'purinergic p2y receptor antagonist', 'ticagrelor', 'animal cell', 'animal experiment', 'animal model', 'animal tissue', 'anticoagulation', 'aortic atherosclerosis', 'article', 'cell infiltration', 'controlled study', 'enzyme linked immunosorbent assay', 'ex vivo study', 'hypercholesterolemia', 'immunohistochemistry', 'lipid diet', 'low density lipoprotein receptor knockout mouse', 'macrophage', 'male', 'mouse', 'nonhuman', 'platelet aggregation assay', 'protein blood level', 'thrombocyte aggregation inhibition', 'tissue level', 'acute coronary syndrome', 'animal', 'atherosclerosis', 'blood clotting parameters', 'c57bl mouse', 'cross-sectional study', 'drug effect', 'hypercholesterolemia', 'metabolism', 'procedures', 'thrombocyte', 'thrombocyte aggregation', 'acute coronary syndrome', 'animals', 'aryldialkylphosphatase', 'atherosclerosis', 'blood platelets', 'clopidogrel', 'cross-sectional studies', 'hypercholesterolemia', 'male', 'mice', 'mice, inbred c57bl', 'platelet aggregation', 'platelet aggregation inhibitors', 'platelet function tests', 'purinergic p2y receptor antagonists', 'receptors, ldl', 'ticagrelor']"
electrospinning: a carbonized gold/graphene/pan nanofiber for high performance biosensing(article),analytical methods,"['anionic surfactants', 'ascorbic acid', 'carbon', 'carbonization', 'cyclic voltammetry', 'electrodes', 'electron microscopy', 'electrospinning', 'gold', 'high resolution transmission electron microscopy', 'organic acids', 'scanning electron microscopy', 'spinning (fibers)', 'transmission electron microscopy', 'voltammetry', 'x ray diffraction', 'detection limits', 'differential pulse voltammetry', 'electrochemical behaviors', 'linear dependence', 'modified electrodes', 'physical products', 'screen-printed carbon electrodes', 'transmission electron', 'electrochemical electrodes']"
the influence of neighbor effect and urbanization toward organ donation in thailand(article)(open access),progress in transplantation,"['choice', 'consumer wellness', 'decision-making', 'neighbor effect', 'organ donation', 'urbanization', 'adult', 'article', 'consumer', 'decision making', 'driver', 'education', 'human', 'human experiment', 'interview', 'male', 'neighborhood', 'organ donor', 'population density', 'rural area', 'social status', 'thailand', 'urban area', 'urbanization', 'wellbeing', 'aged', 'demography', 'donor', 'female', 'middle aged', 'psychology', 'questionnaire', 'socioeconomics', 'thailand', 'transplantation', 'very elderly', 'adult', 'aged', 'aged, 80 and over', 'decision making', 'female', 'humans', 'male', 'middle aged', 'residence characteristics', 'socioeconomic factors', 'surveys and questionnaires', 'thailand', 'tissue and organ procurement', 'tissue donors', 'urbanization']"
characterization and screening of lipolytic bacteria from thai fermented fish(article)(open access),sains malaysiana,"['fermented fish', 'halophilic bacteria', 'lipase', 'lipolytic bacteria', 'decomposition', 'dilution', 'fermentation', 'fish', 'genetic analysis', 'isolated population', 'microbial activity', 'phenotype', 'rna', 'bacillus amyloliquefaciens', 'bacteria (microorganisms)', 'corynebacterium variabile', 'oceanobacillus iheyensis', 'staphylococcus saprophyticus subsp. bovis', 'virgibacillus dokdonensis']"
comparison of isolation techniques for bone marrow derived canine mesenchymal stem cells (mscs) and the compatibility of mscs loaded onto polycarpolactone hydroxyapatite(article),thai journal of veterinary medicine,"['bone marrow', 'dogs', 'mesenchymal stem cells', 'non-union bone', 'polycarprolactone/ hydroxyapatite (pcl/hap) scaffold', 'hydroxyapatite', 'angiography', 'animal tissue', 'apoptosis', 'article', 'aspiration', 'biocompatibility', 'blood analysis', 'bone defect', 'bone development', 'bone marrow derived mesenchymal stem cell', 'cell differentiation', 'cell isolation', 'cell proliferation', 'composite graft', 'cytolysis', 'dog', 'erythrocyte', 'flow cytometry', 'histology', 'neovascularization (pathology)', 'nonhuman', 'ossification', 'radiography']"
mineralogical and geochemical characterization of waste rocks from a gold mine in northeastern thailand: application for environmental impact protection(article),environmental science and pollution research,"['amd', 'gold mine', 'gossan', 'heavy metal', 'waste rock', 'acid mine drainage', 'anthropogenic source', 'environmental impact', 'geochemistry', 'gold mine', 'heavy metal', 'massive sulfide', 'mine waste', 'mineralogy', 'pollutant transport', 'toxic substance', 'thailand', 'gold', 'analysis', 'chemistry', 'environmental monitoring', 'environmental protection', 'industrial waste', 'mining', 'pollutant', 'procedures', 'thailand', 'waste disposal facility', 'conservation of natural resources', 'environmental monitoring', 'environmental pollutants', 'gold', 'industrial waste', 'mining', 'thailand', 'waste disposal facilities']"
a method for the isolation and characterization of mycosporine-like amino acids from cyanobacteria(article)(open access),methods and protocols,"['mycosporine-2-glycine', 'mycosporine-like amino acids', 'porphyra-334', 'shinorine']"
"effect of lactobacillus salivarius on growth performance, diarrhea incidence, fecal bacterial population and intestinal morphology of suckling pigs challenged with f4+ enterotoxigenic escherichia coli(article)(open access)",asian-australasian journal of animal sciences,"['enterotoxigenic escherichia coli f4', 'fecal bacterial population', 'growth performance', 'intestinal morphology', 'lactobacillus salivarius', 'suckling pigs']"
joint management of an interconnected coastal aquifer and invasive tree(article)(open access),ecological economics,"['groundwater management', 'invasive species', 'kiawe', 'kīholo', 'prosopis pallida', 'aquifer', 'coastal zone', 'cost analysis', 'dicotyledon', 'extraction method', 'invasive species', 'rhizosphere', 'water demand', 'water management', 'water planning', 'water storage', 'hawaii [united states]', 'united states', 'prosopis', 'prosopis pallida']"
the attitude towards the new rice direct-seeding device(conference paper),international journal of monetary economics and finance,"['attitudes towards new technology', 'characteristics of innovation', 'rice direct-seeding device', ""users' behaviour""]"
search for new physics in events with two soft oppositely charged leptons and missing transverse momentum in proton–proton collisions at s=13tev(article)(open access),"physics letters, section b: nuclear, elementary particle and high-energy physics","['cms', 'compressed', 'leptons', 'missing energy', 'susy']"
knee implant orientation estimation for x-ray images using multiscale dual filter and linear regression model(conference paper),advances in intelligent systems and computing,"['edge detection', 'linear regression', 'multiscale dual filter', 'total knee replacement', 'x-ray imaging', 'arthroplasty', 'bandpass filters', 'bone', 'edge detection', 'implants (surgical)', 'knee prostheses', 'orthopedics', 'regression analysis', 'x ray analysis', 'acceptance rate', 'knee implants', 'linear regression models', 'multiscale dual filter', 'orientation estimation', 'total knee replacement', 'x-ray image', 'xray imaging', 'linear regression']"
factors associated with response to biofeedback therapy for dyssynergic defecation(article),clinical gastroenterology and hepatology,"['behavioral therapy', 'clinic trial', 'constipation', 'pelvic floor disorder', 'laxative', 'adult', 'aged', 'article', 'biofeedback', 'body position', 'breathing exercise', 'chronic constipation', 'clinical effectiveness', 'controlled study', 'defecation disorder', 'demography', 'dietary fiber', 'dyssynergic defecation', 'female', 'gastrointestinal transit', 'human', 'major clinical study', 'male', 'manometry', 'outcome assessment', 'post hoc analysis', 'prospective study', 'randomized controlled trial', 'satisfaction', 'sensory feedback', 'symptom', 'treatment failure', 'treatment response', 'visual feedback', 'adolescent', 'ataxia', 'biofeedback', 'constipation', 'defecation', 'middle aged', 'procedures', 'treatment outcome', 'young adult', 'adolescent', 'adult', 'aged', 'ataxia', 'biofeedback, psychology', 'constipation', 'defecation', 'female', 'humans', 'male', 'middle aged', 'prospective studies', 'treatment outcome', 'young adult']"
"reintubation in the post-anesthesia care unit [pacu] from the first 2,000 incidents: perioperative and anesthetic adverse events in thailand [paad thai] study(article)",journal of the medical association of thailand,"['complication', 'failed extubation', 'post-anesthesia care', 'recovery room', 'reintubation', 'atracurium besilate', 'atropine', 'cisatracurium', 'desflurane', 'diazepam', 'fentanyl', 'glycopyrronium', 'isoflurane', 'midazolam', 'morphine', 'muscle relaxant agent', 'neostigmine', 'neuromuscular blocking agent', 'nitrous oxide', 'pancuronium', 'pethidine', 'propofol', 'sevoflurane', 'suxamethonium', 'thiopental', 'adult', 'anesthesiologist', 'article', 'assisted ventilation', 'clinical outcome', 'controlled study', 'extubation', 'female', 'heart arrest', 'hospital admission', 'human', 'incident report', 'intensive care unit', 'intubation', 'long term care', 'major clinical study', 'male', 'medical error', 'multicenter study', 'open ended questionnaire', 'oxygen desaturation', 'pediatric patient', 'perioperative period', 'practice guideline', 'recovery room', 'reintubation', 'risk assessment']"
dynamic responses of interspersed railway tracks to moving train loads(article)(open access),international journal of structural stability and dynamics,"['concrete sleeper', 'dynamic factor', 'dynamic response', 'envelop analysis', 'interspersed track', 'moving load', 'nonlinear transient analysis', 'tensionless support', 'timber sleeper', 'concretes', 'deterioration', 'finite element method', 'railroad tracks', 'railroads', 'rails', 'timber', 'transient analysis', 'transportation', 'concrete sleeper', 'dynamic factors', 'envelop analysis', 'interspersed track', 'moving load', 'nonlinear transient analysis', 'tensionless support', 'dynamic response']"
driving a firm’s agility and success of product innovation through organizational behavior: an abstract(book chapter),developments in marketing science: proceedings of the academy of marketing science,"['agilent', 'dynamic capabilities', 'organizational agility', 'product innovation', 'structural equation modeling']"
effect of gamma irradiation on properties of ultrafine rubbers as toughening filler in polybenzoxazine(article),radiation physics and chemistry,"['acrylonitrile', 'compatibility', 'gamma ray', 'particle size', 'ultrafine rubber', 'butadiene', 'glass transition', 'impact resistance', 'irradiation', 'particle size', 'polymer blends', 'rubber', 'styrene', 'thermodynamic stability', 'acrylonitrile', 'carboxylated styrene butadiene rubbers', 'compatibility', 'cross-link densities', 'nitrile butadiene rubber', 'thermal and mechanical properties', 'thermal performance', 'ultrafine', 'gamma rays', 'benzoxazine derivative', 'polybenzoxazine', 'rubber', 'unclassified drug', 'article', 'biomechanics', 'controlled study', 'cross linking', 'gamma irradiation', 'glass transition temperature', 'particle size', 'radiation dose', 'spray drying', 'thermostability']"
a global research agenda for pediatric hiv(article)(open access),journal of acquired immune deficiency syndromes,"['antiretrovirals', 'children', 'hiv', 'hiv diagnosis', 'priorities', 'service delivery', 'adult', 'aged', 'antiretroviral therapy', 'article', 'child health', 'coinfection', 'drug formulation', 'health care access', 'health care delivery', 'human', 'interpersonal communication', 'medical research', 'medical society', 'methodology', 'nutrition', 'pediatrics', 'prenatal care', 'priority journal', 'psychosocial care', 'retention in care', 'stigma', 'world health organization', 'child', 'child health', 'disease eradication', 'genetics', 'global health', 'human immunodeficiency virus', 'human immunodeficiency virus infection', 'isolation and purification', 'mass screening', 'mortality', 'nutritional science', 'pediatrics', 'perceptive discrimination', 'social stigma', 'antiretrovirus agent', 'anti-retroviral agents', 'biomedical research', 'child', 'child health', 'discrimination (psychology)', 'disease eradication', 'global health', 'hiv', 'hiv infections', 'humans', 'mass screening', 'nutritional sciences', 'pediatrics', 'social stigma']"
holographic rg flows in n= 4 scfts from half-maximal gauged supergravity(article)(open access),european physical journal c,[]
four square step test with foam is more accurate than those without foam for discriminating between older adults with and without fall history(article),journal of aging and physical activity,"['aging', 'balance assessment', 'unstable surface', 'adult', 'aged', 'aging', 'area under the curve', 'article', 'female', 'foam', 'human', 'human experiment', 'major clinical study', 'male', 'receiver operating characteristic', 'sensitivity and specificity', 'devices', 'exercise test', 'falling', 'geriatric assessment', 'procedures', 'accidental falls', 'adult', 'aged', 'exercise test', 'geriatric assessment', 'humans', 'roc curve', 'sensitivity and specificity']"
study of jet quenching with isolated-photon+jet correlations in pbpb and pp collisions at snn=5.02 tev(article)(open access),"physics letters, section b: nuclear, elementary particle and high-energy physics","['cms', 'heavy ion', 'jet', 'jet quenching', 'photon', 'physics']"
porcine circovirus type 3 (pcv3) infection in grower pigs from a thai farm suffering from porcine respiratory disease complex (prdc)(article),veterinary microbiology,"['porcine circovirus type 3', 'porcine respiratory disease complex', 'thailand', 'nucleotide', 'animal tissue', 'article', 'circoviridae infection', 'genome analysis', 'nonhuman', 'pig', 'polymerase chain reaction', 'porcine circovirus type 3 infection', 'prevalence', 'respiratory tract disease', 'thailand', 'virus strain', 'agricultural land', 'animal', 'circoviridae infection', 'circovirus', 'complication', 'genetics', 'mixed infection', 'physiology', 'respiratory tract disease', 'sequence homology', 'species difference', 'swine disease', 'veterinary', 'virology', 'animals', 'circoviridae infections', 'circovirus', 'coinfection', 'farms', 'prevalence', 'respiratory tract diseases', 'sequence homology, nucleic acid', 'species specificity', 'swine', 'swine diseases', 'thailand']"
electrochemical performance assessment of low-temperature solid oxide fuel cell with ysz-based and sdc-based electrolytes(article),international journal of hydrogen energy,"['low temperature', 'overpotentials', 'performance analysis', 'sdc-based electrolyte', 'sofc', 'ysz-based electrolyte', 'anodes', 'cathodes', 'cerium compounds', 'electrodes', 'electrolytes', 'fuel cells', 'low temperature engineering', 'low temperature operations', 'solid oxide fuel cells (sofc)', 'temperature', 'yttria stabilized zirconia', 'zirconia', 'electrochemical performance', 'low temperature solid oxide fuel cells', 'low temperatures', 'over potential', 'performance analysis', 'samaria doped cerias (sdc)', 'solid oxide fuel cells (sofcs)', 'yttria-stabilized zirconias (ysz)', 'solid electrolytes']"
"evaluation of csr project from the economic, environmental and social performances monitoring by using the case study of renewable energy for a community project in thailand(conference paper)",acm international conference proceeding series,"['community biogas production and distribution', 'corporate social responsibility', 'economic indicator', 'environmental indicator', 'social indicator.', 'benchmarking', 'biogas', 'greenhouse gases', 'investments', 'planning', 'sustainable development', 'biogas production', 'corporate social responsibilities (csr)', 'economic indicators', 'environmental indicators', 'social indicators', 'economic analysis']"
health prospects of older persons in thailand: the role of education(article)(open access),asian population studies,"['education', 'health', 'population ageing', 'projections', 'thailand', 'aging population', 'education', 'health status', 'health survey', 'population modeling', 'thailand']"
